Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,HALF1,HALF2
1905,9.80,9.80,9.80,9.80,9.70,9.80,9.90,9.90,10.00,10.00,10.10,10.00, , 
1905,10.00,9.90,9.90,9.80,9.90,9.90,10.00,10.20,10.20,10.10,10.20,10.10, , 
1905,10.10,10.00,9.90,10.00,10.10,10.10,10.10,10.10,10.10,10.20,10.30,10.30, , 
1905,10.40,10.40,10.50,10.60,10.70,10.80,10.80,10.90,11.10,11.30,11.50,11.60, , 
1905,11.70,12.00,12.00,12.60,12.80,13.00,12.80,13.00,13.30,13.50,13.50,13.70, , 
1905,14.00,14.10,14.00,14.20,14.50,14.70,15.10,15.40,15.70,16.00,16.30,16.50, , 
1905,16.50,16.20,16.40,16.70,16.90,16.90,17.40,17.70,17.80,18.10,18.50,18.90, , 
1905,19.30,19.50,19.70,20.30,20.60,20.90,20.80,20.30,20.00,19.90,19.80,19.40, , 
1905,19.00,18.40,18.30,18.10,17.70,17.60,17.70,17.70,17.50,17.50,17.40,17.30, , 
1905,16.90,16.90,16.70,16.70,16.70,16.70,16.80,16.60,16.60,16.70,16.80,16.90, , 
1905,16.80,16.80,16.80,16.90,16.90,17.00,17.20,17.10,17.20,17.30,17.30,17.30, , 
1905,17.30,17.20,17.10,17.00,17.00,17.00,17.10,17.00,17.10,17.20,17.20,17.30, , 
1905,17.30,17.20,17.30,17.20,17.30,17.50,17.70,17.70,17.70,17.70,18.00,17.90, , 
1905,17.90,17.90,17.80,17.90,17.80,17.70,17.50,17.40,17.50,17.60,17.70,17.70, , 
1905,17.50,17.40,17.30,17.30,17.40,17.60,17.30,17.20,17.30,17.40,17.30,17.30, , 
1905,17.30,17.10,17.10,17.10,17.20,17.10,17.10,17.10,17.30,17.20,17.20,17.10, , 
1905,17.10,17.10,17.00,16.90,17.00,17.10,17.30,17.30,17.30,17.30,17.30,17.20, , 
1905,17.10,17.00,16.90,17.00,16.90,16.80,16.60,16.50,16.60,16.50,16.40,16.10, , 
1905,15.90,15.70,15.60,15.50,15.30,15.10,15.10,15.10,15.00,14.90,14.70,14.60, , 
1905,14.30,14.10,14.00,13.90,13.70,13.60,13.60,13.50,13.40,13.30,13.20,13.10, , 
1905,12.90,12.70,12.60,12.60,12.60,12.70,13.10,13.20,13.20,13.20,13.20,13.20, , 
1905,13.20,13.30,13.30,13.30,13.30,13.40,13.40,13.40,13.60,13.50,13.50,13.40, , 
1905,13.60,13.70,13.70,13.80,13.80,13.70,13.70,13.70,13.70,13.70,13.80,13.80, , 
1905,13.80,13.80,13.70,13.70,13.70,13.80,13.90,14.00,14.00,14.00,14.00,14.00, , 
1905,14.10,14.10,14.20,14.30,14.40,14.40,14.50,14.50,14.60,14.60,14.50,14.40, , 
1905,14.20,14.10,14.10,14.20,14.10,14.10,14.10,14.10,14.10,14.00,14.00,14.00, , 
1905,14.00,13.90,13.90,13.80,13.80,13.80,13.80,13.80,14.10,14.00,14.00,14.00, , 
1905,13.90,14.00,14.00,14.00,14.00,14.10,14.00,14.00,14.00,14.00,14.00,14.10, , 
1905,14.10,14.10,14.20,14.30,14.40,14.70,14.70,14.90,15.10,15.30,15.40,15.50, , 
1905,15.70,15.80,16.00,16.10,16.30,16.30,16.40,16.50,16.50,16.70,16.80,16.90, , 
1905,16.90,16.90,17.20,17.40,17.50,17.50,17.40,17.30,17.40,17.40,17.40,17.40, , 
1905,17.40,17.40,17.40,17.50,17.50,17.60,17.70,17.70,17.70,17.70,17.70,17.80, , 
1905,17.80,17.80,17.80,17.80,17.90,18.10,18.10,18.10,18.10,18.10,18.10,18.20, , 
1905,18.20,18.10,18.30,18.40,18.50,18.70,19.80,20.20,20.40,20.80,21.30,21.50, , 
1905,21.50,21.50,21.90,21.90,21.90,22.00,22.20,22.50,23.00,23.00,23.10,23.40, , 
1905,23.70,23.50,23.40,23.80,23.90,24.10,24.40,24.50,24.50,24.40,24.20,24.10, , 
1905,24.00,23.80,23.80,23.90,23.80,23.90,23.70,23.80,23.90,23.70,23.80,23.60, , 
1905,23.50,23.50,23.60,23.60,23.70,23.80,24.10,24.30,24.40,24.60,24.70,25.00, , 
1905,25.40,25.70,25.80,25.80,25.90,25.90,25.90,25.90,26.10,26.20,26.40,26.50, , 
1905,26.50,26.30,26.30,26.40,26.40,26.50,26.70,26.70,26.70,26.70,26.70,26.70, , 
1905,26.60,26.50,26.60,26.60,26.70,26.80,26.80,26.90,26.90,27.00,26.90,26.90, , 
1905,26.90,26.90,26.90,26.80,26.90,26.90,26.90,26.90,26.80,26.80,26.80,26.70, , 
1905,26.70,26.70,26.70,26.70,26.70,26.70,26.80,26.80,26.90,26.90,26.90,26.80, , 
1905,26.80,26.80,26.80,26.90,27.00,27.20,27.40,27.30,27.40,27.50,27.50,27.60, , 
1905,27.60,27.70,27.80,27.90,28.00,28.10,28.30,28.30,28.30,28.30,28.40,28.40, , 
1905,28.60,28.60,28.80,28.90,28.90,28.90,29.00,28.90,28.90,28.90,29.00,28.90, , 
1905,29.00,28.90,28.90,29.00,29.00,29.10,29.20,29.20,29.30,29.40,29.40,29.40, , 
1905,29.30,29.40,29.40,29.50,29.50,29.60,29.60,29.60,29.60,29.80,29.80,29.80, , 
1905,29.80,29.80,29.80,29.80,29.80,29.80,30.00,29.90,30.00,30.00,30.00,30.00, , 
1905,30.00,30.10,30.10,30.20,30.20,30.20,30.30,30.30,30.40,30.40,30.40,30.40, , 
1905,30.40,30.40,30.50,30.50,30.50,30.60,30.70,30.70,30.70,30.80,30.80,30.90, , 
1905,30.90,30.90,30.90,30.90,30.90,31.00,31.10,31.00,31.10,31.10,31.20,31.20, , 
1905,31.20,31.20,31.30,31.40,31.40,31.60,31.60,31.60,31.60,31.70,31.70,31.80, , 
1905,31.80,32.00,32.10,32.30,32.30,32.40,32.50,32.70,32.70,32.90,32.90,32.90, , 
1905,32.90,32.90,33.00,33.10,33.20,33.30,33.40,33.50,33.60,33.70,33.80,33.90, , 
1905,34.10,34.20,34.30,34.40,34.50,34.70,34.90,35.00,35.10,35.30,35.40,35.50, , 
1905,35.60,35.80,36.10,36.30,36.40,36.60,36.80,37.00,37.10,37.30,37.50,37.70, , 
1905,37.80,38.00,38.20,38.50,38.60,38.80,39.00,39.00,39.20,39.40,39.60,39.80, , 
1905,39.80,39.90,40.00,40.10,40.30,40.60,40.70,40.80,40.80,40.90,40.90,41.10, , 
1905,41.10,41.30,41.40,41.50,41.60,41.70,41.90,42.00,42.10,42.30,42.40,42.50, , 
1905,42.60,42.90,43.30,43.60,43.90,44.20,44.30,45.10,45.20,45.60,45.90,46.20, , 
1905,46.60,47.20,47.80,48.00,48.60,49.00,49.40,50.00,50.60,51.10,51.50,51.90, , 
1905,52.10,52.50,52.70,52.90,53.20,53.60,54.20,54.30,54.60,54.90,55.30,55.50, , 
1905,55.60,55.80,55.90,56.10,56.50,56.80,57.10,57.40,57.60,57.90,58.00,58.20, , 
1905,58.50,59.10,59.50,60.00,60.30,60.70,61.00,61.20,61.40,61.60,61.90,62.10, , 
1905,62.50,62.90,63.40,63.90,64.50,65.20,65.70,66.00,66.50,67.10,67.40,67.70, , 
1905,68.30,69.10,69.80,70.60,71.50,72.30,73.10,73.80,74.60,75.20,75.90,76.70, , 
1905,77.80,78.90,80.10,81.00,81.80,82.70,82.70,83.30,84.00,84.80,85.50,86.30, , 
1905,87.00,87.90,88.50,89.10,89.80,90.60,91.60,92.30,93.20,93.40,93.70,94.00, , 
1905,94.30,94.60,94.50,94.90,95.80,97.00,97.50,97.70,97.90,98.20,98.00,97.60, , 
1905,97.80,97.90,97.90,98.60,99.20,99.50,99.90,100.20,100.70,101.00,101.20,101.30, , 
1905,101.90,102.40,102.60,103.10,103.40,103.70,104.10,104.50,105.00,105.30,105.30,105.30,102.90,104.90
1905,105.50,106.00,106.40,106.90,107.30,107.60,107.80,108.00,108.30,108.70,109.00,109.30,106.60,108.50
1905,109.60,109.30,108.80,108.60,108.90,109.50,109.50,109.70,110.20,110.30,110.40,110.50,109.10,110.10
1905,111.20,111.60,112.10,112.70,113.10,113.50,113.80,114.40,115.00,115.30,115.40,115.40,112.40,114.90
1905,115.70,116.00,116.50,117.10,117.50,118.00,118.50,119.00,119.80,120.20,120.30,120.50,116.80,119.70
