year,y
2024,287.65276699680805
2025,292.61110836119326
2026,297.5090818036888
2027,302.40697116462854
2028,307.24952391242897
2029,312.2078652768143
2030,317.1058387193096
2031,322.0037280802497
2032,326.84628082805
2033,331.804622192435
2034,336.70259563493084
2035,341.6004849958703
2036,346.4430377436709
2037,351.4013791080559
2038,356.29935255055165
2039,361.1972419114914
2040,366.0397946592919
2041,370.99813602367726
2042,375.8961094661724
2043,380.7939988271124
2044,385.63655157491274
2045,390.5948929392978
2046,395.49286638179325
2047,400.3907557427337
2048,405.2333084905338
2049,410.191649854919
2050,415.0896232974146
2051,419.98751265835404
2052,424.8300654061547
2053,429.7884067705399
2054,434.6863802130352
2055,439.5842695739752
2056,444.4268223217759
2057,449.38516368616087
2058,454.28313712865634
2059,459.1810264895964
2060,464.0235792373965
2061,468.98192060178184
2062,473.87989404427736
2063,478.77778340521695
2064,483.62033615301743
2065,488.5786775174024
2066,493.47665095989805
2067,498.3745403208379
2068,503.2170930686387
2069,508.1754344330236
2070,513.0734078755189
2071,517.971297236459
2072,522.8138499842595
2073,527.7721913486445
2074,532.6701647911398
2075,537.5680541520798
2076,542.4106068998805
2077,547.3689482642654
2078,552.2669217067611
2079,557.1648110677005
2080,562.0073638155014
2081,566.9657051798865
2082,571.8636786223818
2083,576.7615679833215
2084,581.604120731122
2085,586.562462095507
2086,591.4604355380028
2087,596.3583248989429
2088,601.2008776467432
2089,606.1592190111286
2090,611.057192453624
2091,615.9550818145638
2092,620.797634562364
2093,625.7559759267493
2094,630.6539493692446
2095,635.5518387301845
2096,640.3943914779853
2097,645.3527328423701
2098,650.2507062848659
2099,655.1485956458057
2100,660.0463971852761
2101,664.9441072818263
2102,669.8417224385179
2103,674.7392392887764
