year,age,female_life_expectancy,male_life_expectancy
2022,0,82.1,77.66
2022,1,81.47,77.08
2022,2,80.49,76.1
2022,3,79.51,75.12
2022,4,78.52,74.14
2022,5,77.53,73.15
2022,6,76.54,72.16
2022,7,75.54,71.17
2022,8,74.55,70.17
2022,9,73.56,69.18
2022,10,72.56,68.19
2022,11,71.57,67.19
2022,12,70.57,66.2
2022,13,69.58,65.2
2022,14,68.59,64.21
2022,15,67.59,63.23
2022,16,66.6,62.25
2022,17,65.62,61.27
2022,18,64.63,60.3
2022,19,63.65,59.34
2022,20,62.66,58.38
2022,21,61.68,57.43
2022,22,60.71,56.49
2022,23,59.73,55.55
2022,24,58.76,54.62
2022,25,57.78,53.68
2022,26,56.81,52.75
2022,27,55.84,51.81
2022,28,54.87,50.88
2022,29,53.9,49.94
2022,30,52.94,49.01
2022,31,51.97,48.08
2022,32,51.01,47.15
2022,33,50.04,46.22
2022,34,49.08,45.29
2022,35,48.12,44.36
2022,36,47.16,43.42
2022,37,46.2,42.49
2022,38,45.25,41.56
2022,39,44.29,40.63
2022,40,43.34,39.7
2022,41,42.39,38.78
2022,42,41.44,37.85
2022,43,40.5,36.93
2022,44,39.56,36.01
2022,45,38.62,35.1
2022,46,37.69,34.19
2022,47,36.77,33.29
2022,48,35.85,32.41
2022,49,34.94,31.52
2022,50,34.03,30.65
2022,51,33.13,29.79
2022,52,32.24,28.93
2022,53,31.35,28.09
2022,54,30.47,27.25
2022,55,29.6,26.43
2022,56,28.73,25.62
2022,57,27.86,24.83
2022,58,27.0,24.04
2022,59,26.14,23.26
2022,60,25.28,22.48
2022,61,24.43,21.71
2022,62,23.58,20.94
2022,63,22.73,20.18
2022,64,21.89,19.42
2022,65,21.06,18.67
2022,66,20.25,17.93
2022,67,19.44,17.19
2022,68,18.64,16.47
2022,69,17.85,15.75
2022,70,17.07,15.05
2022,71,16.31,14.35
2022,72,15.55,13.67
2022,73,14.81,13.0
2022,74,14.08,12.34
2022,75,13.37,11.69
2022,76,12.67,11.06
2022,77,11.99,10.45
2022,78,11.33,9.85
2022,79,10.69,9.27
2022,80,10.06,8.7
2022,81,9.45,8.16
2022,82,8.87,7.63
2022,83,8.3,7.13
2022,84,7.76,6.65
2022,85,7.25,6.2
2022,86,6.75,5.77
2022,87,6.29,5.37
2022,88,5.85,4.99
2022,89,5.44,4.64
2022,90,5.05,4.31
2022,91,4.69,4.0
2022,92,4.36,3.72
2022,93,4.06,3.47
2022,94,3.78,3.24
2022,95,3.54,3.03
2022,96,3.31,2.86
2022,97,3.12,2.7
2022,98,2.94,2.56
2022,99,2.77,2.43
2022,100,2.61,2.3
2022,101,2.46,2.18
2022,102,2.31,2.07
2022,103,2.17,1.96
2022,104,2.04,1.85
2022,105,1.91,1.75
2022,106,1.79,1.65
2022,107,1.67,1.56
2022,108,1.56,1.47
2022,109,1.46,1.38
2022,110,1.36,1.3
2022,111,1.26,1.22
2022,112,1.17,1.15
2022,113,1.09,1.07
2022,114,1.01,1.0
2022,115,0.94,0.94
2022,116,0.87,0.87
2022,117,0.81,0.81
2022,118,0.75,0.75
2022,119,0.69,0.69
